country,variable,n,spearman_r,spearman_p_adj,is_significant
Zimbabwe,city,56,0.6100112984065229,2.825059860067643e-05,True
Zimbabwe,pm25_mean,56,0.42289150638636247,0.02740199554562746,True
Zimbabwe,no2_uncertainty,56,0.3445274220798251,0.1061479008394518,False
Zimbabwe,max_year_precip,56,0.2914865066348591,0.1966115995594205,False
Zimbabwe,runoff_days,56,0.27065314944526164,0.25638729903208946,False
Zimbabwe,max_runoff,56,0.1842353759753491,0.4524052885680698,False
Zimbabwe,mean_sensible_heat,56,0.12101784205556385,0.7291204645503182,False
Zimbabwe,ozone_uncertainty,56,0.11199071697968262,0.7313285440226841,False
Zimbabwe,pressure_variability,56,0.10988519457283434,0.7313285440226841,False
Zimbabwe,heavy_rain_days,56,0.09906551457197547,0.7783912603668088,False
Zimbabwe,max_heat_intensity,56,0.09129764922220565,0.7783912603668088,False
Zimbabwe,max_temp,56,0.09129764922220565,0.7783912603668088,False
Zimbabwe,no2_mean,56,0.08917015502301102,0.7783912603668088,False
Zimbabwe,annual_freeze_burden,56,0.02556652931949212,0.9805683382033583,False
Zimbabwe,mean_cold_area,56,0.02556652931949212,0.9805683382033583,False
Zimbabwe,mean_dry_area,56,0.011480542716564783,0.9805683382033583,False
Zimbabwe,annual_dry_area,56,0.007007603995825258,0.9805683382033583,False
Zimbabwe,max_monthly_wind_speed,56,0.0033298543809949805,0.9805683382033583,False
Zimbabwe,mean_annual_net_thermal,56,-0.004622036678097511,0.9805683382033583,False
Zimbabwe,mean_soil_moisture,56,-0.01078475224889419,0.9805683382033583,False
Zimbabwe,annual_heat_intensity_sum,56,-0.01287212365190597,0.9805683382033583,False
Zimbabwe,max_rolling_heat_stress,56,-0.017146265096168182,0.9805683382033583,False
Zimbabwe,drought_episodes,56,-0.040462835874496714,0.9488593214928096,False
Zimbabwe,evap_deficit,56,-0.041896526017593555,0.9488593214928096,False
Zimbabwe,health_exp,56,-0.0537078744318596,0.9063453839577847,False
Zimbabwe,annual_potential_evap,56,-0.06048407136822225,0.8834616576678398,False
Zimbabwe,mean_annual_net_solar,56,-0.06982754336265592,0.8419696454331378,False
Zimbabwe,pm25_uncertainty,56,-0.08168691048246178,0.7826272216767634,False
Zimbabwe,min_monthly_soil_moisture,56,-0.08374335271606778,0.7826272216767634,False
Zimbabwe,extreme_rain_days,56,-0.11764998318482084,0.7291204645503182,False
Zimbabwe,min_temp,56,-0.12280701754385964,0.7291204645503182,False
Zimbabwe,ozone_mean,56,-0.13786933728567993,0.6642325830379808,False
Zimbabwe,extreme_heat_episodes,56,-0.17305732964265952,0.4524052885680698,False
Zimbabwe,mean_caution_area,56,-0.17658168083097261,0.4524052885680698,False
Zimbabwe,mean_extreme_area,56,-0.17658168083097261,0.4524052885680698,False
Zimbabwe,heat_episodes,56,-0.17847025495750707,0.4524052885680698,False
Zimbabwe,caution_area,56,-0.18075642363699618,0.4524052885680698,False
Zimbabwe,extreme_area,56,-0.18075642363699618,0.4524052885680698,False
Zimbabwe,annual_cold_intensity_sum,56,-0.1827443964017693,0.4524052885680698,False
Zimbabwe,annual_total_evap,56,-0.1960638139257492,0.4524052885680698,False
Zimbabwe,mean_latent_heat,56,-0.1960638139257492,0.4524052885680698,False
Zimbabwe,gdp,56,-0.1960638139257492,0.4524052885680698,False
Zimbabwe,anomaly_cold_days,56,-0.20001988491602074,0.4524052885680698,False
Zimbabwe,mean_temp,56,-0.2004373540082501,0.4524052885680698,False
Zimbabwe,mean_annual_wind_speed,56,-0.3198151185328761,0.12745740223650937,False
Zimbabwe,anomaly_heat_days,56,-0.33621989820604337,0.1061479008394518,False
Zimbabwe,rural,56,-0.3811286375983356,0.058830475022958954,False
