country,variable,n,lag,spearman_r,spearman_p,kendall_tau,kendall_p,var_diff_std,health_diff_std,var_diff_nonzero_share,health_diff_nonzero_share,spearman_p_adj,kendall_p_adj,spearman_sig,kendall_sig
Japan,heat_episodes,56,1,0.5757090704653861,3.4500762114923934e-06,0.5277744091303819,7.5182296201624064e-06,3.2240975783628505,1.8933746651001313,0.26785714285714285,0.32142857142857145,0.00016905373436312728,0.00018419662569397897,True,True
Japan,min_temp,56,1,0.5516127429054222,1.0510665841285939e-05,0.5268817204301075,5.391680316983113e-06,1.2513048262762534,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.00018137804346116926,0.00018419662569397897,True,True
Japan,rural,56,1,-0.5503731994487578,1.1104778171091996e-05,-0.5074721754309203,3.55951275948925e-05,0.07810665368999846,1.8933746651001313,0.08928571428571429,0.32142857142857145,0.00018137804346116926,0.0005813870840499109,True,True
Japan,mean_soil_moisture,56,1,-0.47954873018239647,0.00018435588388587788,-0.41457586618876946,0.00034448323985136547,0.0024433099471675066,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.002258359577602004,0.0021945010936451083,True,True
Japan,annual_cold_intensity_sum,56,1,-0.46732269767904183,0.0002821228570781896,-0.4217443249701314,0.0002713543639802984,13.442540905694688,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.0027648039993662583,0.0021945010936451083,True,True
Japan,mean_caution_area,56,1,0.43263257293375074,0.0008682652866391912,0.4121863799283154,0.0003727026201661611,0.011484064630635464,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.004799899430378863,0.0021945010936451083,True,True
Japan,mean_extreme_area,56,1,0.43263257293375074,0.0008682652866391912,0.4121863799283154,0.0003727026201661611,0.011484064630635464,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.004799899430378863,0.0021945010936451083,True,True
Japan,caution_area,56,1,0.43213557974255756,0.0008816141810899953,0.40979689366786143,0.0004030716294450199,4.200681840524399,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.004799899430378863,0.0021945010936451083,True,True
Japan,extreme_area,56,1,0.43213557974255756,0.0008816141810899953,0.40979689366786143,0.0004030716294450199,4.200681840524399,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.004799899430378863,0.0021945010936451083,True,True
Japan,evap_deficit,56,1,0.4189155608568163,0.0013119058544289438,0.39307048984468335,0.0006896685071427846,0.001999221988496725,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.006428338686701824,0.0033793756849996447,True,True
Japan,mean_dry_area,56,1,0.40480095422692713,0.0019710376018544987,0.37873357228195936,0.001075957812271769,0.01244428282947953,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.00816201245179548,0.0043934944001097235,True,True
Japan,annual_dry_area,56,1,0.4043039610357338,0.0019988601922764438,0.37873357228195936,0.001075957812271769,4.4396411984922635,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.00816201245179548,0.0043934944001097235,True,True
Japan,no2_mean,56,1,0.39540134089550405,0.002560225169375506,0.355841724548433,0.0022235531956738635,2.5739857414917036,1.8933746651001313,0.30357142857142855,0.32142857142857145,0.009650079484569214,0.008381085122155331,True,True
Japan,extreme_heat_episodes,56,1,0.3197139035909074,0.016306919595944453,0.29003829531750486,0.013538993377742585,8.78382146224065,1.8933746651001313,0.26785714285714285,0.32142857142857145,0.054426086206729916,0.044227378367292444,False,True
Japan,annual_potential_evap,56,1,-0.31872173351225086,0.016661046797978547,-0.29510155316606934,0.010839868999219569,0.002185222856807031,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.054426086206729916,0.03793954149726849,False,True
Japan,winter_mean_snow_density,56,1,0.30212216092639527,0.02363250579779682,0.24731182795698925,0.03274330929878376,3.4178064752209196,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.07237454900575277,0.08913456420224468,False,False
Japan,anomaly_cold_days,56,1,-0.28299394354200486,0.03456820114119117,-0.27058292300624953,0.02017846788612385,6.11340341370511,1.8933746651001313,0.30357142857142855,0.32142857142857145,0.0996377562304922,0.058491304807347745,False,False
Japan,mean_latent_heat,56,1,-0.27230256945479847,0.04232514708900699,-0.2688172043010753,0.02029290166785534,77305.17627987365,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.11521845596451902,0.058491304807347745,False,False
Japan,mean_annual_rsn,56,1,0.24705531534217978,0.06640739768739473,0.22341696535244923,0.05374133897560716,2.5762927160089957,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.17126118350959693,0.13166628049023754,False,False
Japan,ozone_uncertainty,56,1,-0.2397493899097467,0.07512324906668108,-0.24069458961719614,0.04388981070733241,0.11235380110782542,1.8933746651001313,0.21428571428571427,0.32142857142857145,0.18405196021336864,0.11318951182417306,False,False
Japan,city,56,1,0.21057242152217032,0.11928963641448416,0.1837660876884538,0.12722756479080125,0.26413298500231697,1.8933746651001313,0.17857142857142858,0.32142857142857145,0.2783424849671297,0.2149707129223883,False,False
Japan,ozone_mean,56,1,0.20661873638040876,0.12654759389502387,0.17374974253202916,0.13554985764226504,0.8935483039145512,1.8933746651001313,0.30357142857142855,0.32142857142857145,0.2818560045843714,0.22139810081569958,False,False
Japan,heavy_rain_days,56,1,0.2004175387627723,0.1385976088820588,0.19173243618101696,0.09880220146449467,9.079161240509436,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.29378385348524805,0.2149707129223883,False,False
Japan,extreme_rain_days,56,1,0.1978193678615836,0.14389413231930517,0.1927219643901844,0.10058695724063879,2.8391968866281467,1.8933746651001313,0.2857142857142857,0.32142857142857145,0.29378385348524805,0.2149707129223883,False,False
Japan,annual_total_evap,56,1,-0.19238606431091895,0.15545543404366607,-0.18040621266427717,0.11933436767074945,0.00037101793163021217,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.3046926507255855,0.2149707129223883,False,False
Japan,mean_annual_net_solar,56,1,0.18314199095472392,0.17667716564093552,0.17801672640382318,0.12430715613264762,169278.20778949864,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.30653051836530176,0.2149707129223883,False,False
Japan,mean_cold_area,56,1,0.17827145768102978,0.18866762778642307,0.18040621266427717,0.11933436767074945,0.013107657700944186,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.30653051836530176,0.2149707129223883,False,False
Japan,annual_freeze_burden,56,1,0.17817205904279107,0.18891825629632303,0.17801672640382318,0.12430715613264762,4.772145710391235,1.8933746651001313,0.32142857142857145,0.32142857142857145,0.30653051836530176,0.2149707129223883,False,False
