country,variable,n,spearman_r,spearman_p_adj,is_significant
Japan,heat_episodes,56,0.5757090704653861,0.00016905373436312728,True
Japan,min_temp,56,0.5516127429054222,0.00018137804346116926,True
Japan,mean_caution_area,56,0.43263257293375074,0.004799899430378863,True
Japan,mean_extreme_area,56,0.43263257293375074,0.004799899430378863,True
Japan,caution_area,56,0.43213557974255756,0.004799899430378863,True
Japan,extreme_area,56,0.43213557974255756,0.004799899430378863,True
Japan,evap_deficit,56,0.4189155608568163,0.006428338686701824,True
Japan,mean_dry_area,56,0.40480095422692713,0.00816201245179548,True
Japan,annual_dry_area,56,0.4043039610357338,0.00816201245179548,True
Japan,no2_mean,56,0.39540134089550405,0.009650079484569214,True
Japan,annual_cold_intensity_sum,56,-0.46732269767904183,0.0027648039993662583,True
Japan,mean_soil_moisture,56,-0.47954873018239647,0.002258359577602004,True
Japan,rural,56,-0.5503731994487578,0.00018137804346116926,True
Japan,extreme_heat_episodes,56,0.3197139035909074,0.054426086206729916,False
Japan,winter_mean_snow_density,56,0.30212216092639527,0.07237454900575277,False
Japan,mean_annual_rsn,56,0.24705531534217978,0.17126118350959693,False
Japan,city,56,0.21057242152217032,0.2783424849671297,False
Japan,ozone_mean,56,0.20661873638040876,0.2818560045843714,False
Japan,heavy_rain_days,56,0.2004175387627723,0.29378385348524805,False
Japan,extreme_rain_days,56,0.1978193678615836,0.29378385348524805,False
Japan,mean_annual_net_solar,56,0.18314199095472392,0.30653051836530176,False
Japan,mean_cold_area,56,0.17827145768102978,0.30653051836530176,False
Japan,annual_freeze_burden,56,0.17817205904279107,0.30653051836530176,False
Japan,max_heat_intensity,56,0.17379851896029022,0.30653051836530176,False
Japan,max_temp,56,0.17379851896029022,0.30653051836530176,False
Japan,max_runoff,56,0.1702201679836986,0.31144429595077805,False
Japan,max_year_precip,56,0.16544903334824312,0.3213757103468644,False
Japan,anomaly_heat_days,56,0.1401730163420537,0.4239523107605593,False
Japan,drought_episodes,56,0.11928429438192452,0.5048657321300878,False
Japan,pm25_mean,56,0.0673623473945539,0.7745165093333035,False
Japan,annual_heat_intensity_sum,56,0.06535460464191639,0.7745165093333035,False
Japan,max_rolling_heat_stress,56,0.04776104567367427,0.8280737153709407,False
Japan,mean_temp,56,0.04060434372049102,0.8534592352165231,False
Japan,mean_sensible_heat,56,0.027483723472988424,0.8888887650827546,False
Japan,mean_annual_wind_speed,56,-0.0031310571045176684,0.9817282340362938,False
Japan,pm25_uncertainty,56,-0.008581242713676945,0.9697411616564778,False
Japan,min_monthly_soil_moisture,56,-0.025396352069976643,0.8888887650827546,False
Japan,no2_uncertainty,56,-0.03332621536657371,0.8791251697444358,False
Japan,max_monthly_wind_speed,56,-0.052631578947368425,0.8167339336543853,False
Japan,runoff_days,56,-0.0603775455604724,0.7869427098086845,False
Japan,mean_annual_net_thermal,56,-0.08185477858953331,0.7075101404070687,False
Japan,pressure_variability,56,-0.1335420704736345,0.4443936128515962,False
Japan,gdp,56,-0.1804582277222802,0.30653051836530176,False
Japan,health_exp,56,-0.18393718006063314,0.30653051836530176,False
Japan,annual_total_evap,56,-0.19238606431091895,0.3046926507255855,False
Japan,ozone_uncertainty,56,-0.2397493899097467,0.18405196021336864,False
Japan,mean_latent_heat,56,-0.27230256945479847,0.11521845596451902,False
Japan,anomaly_cold_days,56,-0.28299394354200486,0.0996377562304922,False
Japan,annual_potential_evap,56,-0.31872173351225086,0.054426086206729916,False
